Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,rn
ASEAN,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,571.72,2.99,0.53,1
Afghanistan,AFG,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,131.31,7.6,6.14,1
Africa,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,543.62,-0.29,-0.05,1
Albania,ALB,2024,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,25.18,0.76,3.11,1
Algeria,DZA,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,632.94,-0.67,-0.11,1
American Samoa,ASM,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,611.11,-35.95,-5.56,1
Angola,AGO,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,185.38,1.89,1.03,1
Antigua and Barbuda,ATG,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,594.6,-16.51,-2.7,1
Argentina,ARG,2024,Country or economy,South America,Latin America and Caribbean,0.0,0.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,344.83,-6.07,-1.73,1
Armenia,ARM,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,240.31,-22.12,-8.43,1
Aruba,ABW,2024,Country or economy,South America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,550.0,0.0,0.0,1
Asia,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,569.52,-19.62,-3.33,1
Australia,AUS,2024,Country or economy,Oceania,Oceania,0.0,1.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,553.83,-2.87,-0.52,1
Austria,AUT,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,116.91,13.43,12.98,1
Azerbaijan,AZE,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,634.34,-35.65,-5.32,1
Bahamas (the),BHS,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,653.33,1.75,0.27,1
Bahrain,BHR,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,902.24,-0.35,-0.04,1
Bangladesh,BGD,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,695.7,12.98,1.9,1
Barbados,BRB,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,594.6,-5.4,-0.9,1
Belarus,BLR,2025,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,309.25,-20.3,-6.16,1
Belgium,BEL,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,149.82,22.86,18.01,1
Belize,BLZ,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,170.21,14.65,9.42,1
Benin,BEN,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,584.16,-5.84,-0.99,1
