pre_release,version,downloads_count
7.2,7.2rc1,607
7.2,7.2,3420
7.2,7.1rc1,609
7.2,7.1.2,34868
7.2,7.1.1,220243
7.2,7.1,79352
7.2,7.0rc1,1137
7.2,7.0.3,55893
7.2,7.0.2,108142
7.2,7.0.1,180468
7.2,7.0,172863
7.2,6.4rc1,975
7.2,6.4.2,104737
7.2,6.4.1,384120
7.2,6.4,88726
7.2,6.3rc2,994
7.2,6.3rc1,771
7.2,6.3.5,47678
7.2,6.3.4,40262
7.2,6.3.3,85434
7.2,6.3.2,210959
7.2,6.3.1,271812
7.2,6.3,168291
7.2,6.2rc1,1455
7.2,6.2.4,32694
7.2,6.2.3,73782
7.2,6.2.2,240545
7.2,6.2.1,163691
7.2,6.2,86816
7.2,6.1rc2,1277
7.2,6.1rc1,1450
7.2,6.1.3,171583
7.2,6.1.2,153751
7.2,6.1.1,110078
7.2,6.1,54834
7.2,6.0rc1,1588
7.2,6.0.6,78439
7.2,6.0.5,23270
7.2,6.0.4,14221
7.2,6.0.3,27403
7.2,6.0.2,82895
7.2,6.0.1,157517
7.2,6.0,42422
7.2,5.2rc1,3884
7.2,5.2.8,226962
7.2,5.2.7,76649
7.2,5.2.6,1307530
7.2,5.2.5,180888
7.2,5.2.4,78870
7.2,5.2.3,241153
7.2,5.2.2,190529
7.2,5.2.1,136751
7.2,5.2,153706
7.2,5.1rc1,2622
7.2,5.1.3,159210
7.2,5.1.2,71297
7.2,5.1.1,204674
7.2,5.1,54623
7.2,5.0rc1,2154
7.2,5.0.5,154475
7.2,5.0.4,14895
7.2,5.0.3,10353
7.2,5.0.2,149676
7.2,5.0.1,71119
7.2,5.0,125076
7.2,4.2rc1,2736
7.2,4.2.4,186843
7.2,4.2.3,42271
7.2,4.2.2,101611
7.2,4.2.1,47638
7.2,4.2,106734
7.2,4.1rc1,2128
7.2,4.1.9,104989
7.2,4.1.8,18774
7.2,4.1.7,5766
7.2,4.1.6,56165
7.2,4.1.5,23014
7.2,4.1.4,53881
7.2,4.1.3,20360
7.2,4.1.2,26957
7.2,4.1.1,240239
7.2,4.1,47619
7.2,4.0rc2,3675
7.2,4.0rc1,2300
7.2,4.0.4,165298
7.2,4.0.3,6563
7.2,4.0.2,42571
7.2,4.0.1,36201
7.2,4.0,44535
7.2,3.0rc3,3175
7.2,3.0rc2,2225
7.2,3.0rc1,2289
7.2,3.0.3,164942
7.2,3.0.2,10746
7.2,3.0.1,159297
7.2,3.0,75255
7.2,2.9rc1,8273
7.2,2.9.3,140168
7.2,2.9.2,25951
7.2,2.9.1,15078
7.2,2.9,127507
7.2,2.8rc1,4702
7.2,2.8.2,54134
7.2,2.8.1,55599
7.2,2.8,120670
7.2,2.7rc2,4431
7.2,2.7rc1,3680
7.2,2.7.4,83712
7.2,2.7.3,29873
7.2,2.7.2,36402
7.2,2.7.1,85504
7.2,2.7,103547
7.2,2.6rc1,4588
7.2,2.6.3,90470
7.2,2.6.2,50366
7.2,2.6.1,60926
7.2,2.6,16586
7.2,2.5rc1,4894
7.2,2.5.2,62020
7.2,2.5.1,102993
7.2,2.5,34537
7.2,2.4rc1,4685
7.2,2.4,148224
7.2,2.3rc2,4796
7.2,2.3rc1,4984
7.2,2.3,166502
7.2,2.2rc2,5038
7.2,2.2rc1,4942
7.2,2.2.2,74351
7.2,2.2.1,22330
7.2,2.2,14350
7.2,2.1rc2,4862
7.2,2.1rc1,4838
7.2,2.16rc2,2547
7.2,2.16rc1,2403
7.2,2.16.3,131563
7.2,2.16.2,190054
7.2,2.16.1,138790
7.2,2.16,23985
7.2,2.15rc2,2507
7.2,2.15rc1,2704
7.2,2.15.6,84978
7.2,2.15.5,69736
7.2,2.15.4,58001
7.2,2.15.3,59716
7.2,2.15.2,94893
7.2,2.15.1,209373
7.2,2.15,71412
7.2,2.14rc1,3101
7.2,2.14.2,164936
7.2,2.14.1,125651
7.2,2.14,32309
7.2,2.13rc3,3310
7.2,2.13rc2,2773
7.2,2.13rc1,3383
7.2,2.13.5,99405
7.2,2.13.4,85334
7.2,2.13.3,22949
7.2,2.13.2,91727
7.2,2.13.1,56846
7.2,2.13,64098
7.2,2.12rc1,2812
7.2,2.12.6,57607
7.2,2.12.5,42390
7.2,2.12.4,75928
7.2,2.12.3,105761
7.2,2.12.2,55076
7.2,2.12.1,16137
7.2,2.12,39533
7.2,2.11rc1,3006
7.2,2.11.9,55760
7.2,2.11.8,75167
7.2,2.11.7,43215
7.2,2.11.6,28536
7.2,2.11.5,20161
7.2,2.11.4,10735
7.2,2.11.3,133432
7.2,2.11.2,57884
7.2,2.11.1,35615
7.2,2.11,26638
7.2,2.10rc2,3300
7.2,2.10rc1,4901
7.2,2.10.2,237687
7.2,2.10.1,98024
7.2,2.10,38688
7.2,2.1.3,32404
7.2,2.1.2,14506
7.2,2.1.1,36366
7.2,2.1,38625
7.2,2.0rc1,6370
7.2,2.0b1,10270
7.2,2.0.2,18564
7.2,2.0.1,41694
7.2,2.0,33122
7.2,1.9rc1,6812
7.2,1.9.1,29893
7.2,1.9,39547
7.2,1.8rc1,7848
7.2,1.8.2,17049
7.2,1.8.1,23058
7.2,1.8,35313
7.2,1.7rc1,8016
7.2,1.7,59132
7.2,1.6rc1,9869
7.2,1.6.3,28398
7.2,1.6.2,20595
7.2,1.6.1,11757
7.2,1.6,15374
7.2,1.5rc1,7709
7.2,1.5.3,25900
7.2,1.5.2,32593
7.2,1.5.1,10106
7.2,1.5,12973
7.2,1.4rc1,7003
7.2,1.4.6,45509
7.2,1.4.5,17644
7.2,1.4.4,11738
7.2,1.4.3,15671
7.2,1.4.2,9701
7.2,1.4.1,10683
7.2,1.4,13537
7.2,1.3rc1,7401
7.2,1.3.1,33112
7.2,1.3,12474
7.2,1.2rc1,7237
7.2,1.2,14604
7.2,1.1rc1,7129
7.2,1.13rc1,5690
7.2,1.13.4,77489
7.2,1.13.3,39006
7.2,1.13.2,13033
7.2,1.13.1,72922
7.2,1.13,72759
7.2,1.12rc1,5973
7.2,1.12.6,11782
7.2,1.12.5,6915
7.2,1.12.4,6973
7.2,1.12.3,12683
7.2,1.12.2,39373
7.2,1.12.1,17249
7.2,1.12,19235
7.2,1.11rc1,6230
7.2,1.11.1,40083
7.2,1.11,14394
7.2,1.10rc1,6619
7.2,1.10.1,51009
7.2,1.10,41477
7.2,1.1,11147
7.2,1.0rc2,7417
7.2,1.0rc1,10166
7.2,1.0b2,12133
7.2,1.0b1,4785
7.2,1.0,17661
7.2,0.8.9,9362
7.2,0.8.8,9678
7.2,0.8.7,5758
7.2,0.8.6,5814
7.2,0.8.5,6707
7.2,0.8.4,5810
7.2,0.8.3,5584
7.2,0.8.2,5594
7.2,0.8.10,12411
7.2,0.8.1,5604
7.2,0.8,5587
7.2,0.7,5611
7.2,0.6,5649
7.2,0.5,5753
7.2,0.4.1,5592
7.2,0.4,5576
7.2,0.3.1,5783
7.2,0.3,5705
7.2,0.2,8271
7.2,0.1,5758
7.1,7.1rc1,323
7.1,7.0rc1,21
7.1,7.0.2,34000
7.1,7.0.1,11430
7.1,7.0,9373
7.1,6.4rc1,22
7.1,6.4.2,6713
7.1,6.4.1,9192
7.1,6.4,1398
7.1,6.3rc2,22
7.1,6.3rc1,16
7.1,6.3.5,2241
7.1,6.3.4,844
7.1,6.3.3,1353
7.1,6.3.2,2759
7.1,6.3.1,2869
7.1,6.3,3281
7.1,6.2rc1,22
7.1,6.2.4,3060
7.1,6.2.3,656
7.1,6.2.2,4229
7.1,6.2.1,1135
7.1,6.2,942
