page,rank,accessibility_score,performance_score,seo_score,best_practices_score
https://www.nhs.uk/,5000,1,0.76,0.96,1
https://www.jobs.nhs.uk/,10000,1,0.83,0.82,1
https://trends.google.com/,10000,0.92,0.71,0.92,1
https://www.slovenskenovice.si/,10000,0.71,0.46,0.83,0.52
https://www.earth.com/,10000,0.9,0.7,0.83,0.56
https://www.alab.pl/,50000,0.81,0.39,1,0.52
https://www.vtvgujarati.com/,50000,0.82,0.31,1,0.52
https://admob.google.com/,50000,0.96,0.98,0.92,0.78
https://www.orami.co.id/,50000,0.88,0.62,1,0.74
https://www.billiger.de/,50000,0.95,0.94,1,1
https://www.hlj.com/,50000,0.63,0.56,0.83,0.74
https://www.corsair.com/,50000,1,0.38,0.92,0.74
https://www.ruv.is/,50000,0.96,0.32,1,0.78
https://www.sigmalive.com/,50000,0.7,0.38,0.85,0.56
https://deepmind.google/,50000,1,0.99,0.92,1
https://www.nelson.nl/,50000,0.77,0.84,0.92,0.78
https://www.jacarandafm.com/,50000,0.59,0.45,0.92,0.56
https://grow.google/,50000,0.9,0.65,0.85,0.59
https://www.redlobster.com/,50000,0.89,0.33,0.92,0.78
https://openstax.org/,50000,0.92,0.09,1,0.74
https://superbalist.com/,50000,0.71,0.2,0.92,0.78
https://blog.google/,50000,0.85,0.95,1,1
https://www.ecr.co.za/,50000,0.7,0.29,0.92,0.56
https://www.pokemon-zone.com/,50000,0.88,0.63,1,0.56
https://www.citizensinformation.ie/,50000,0.92,0.99,0.91,1
https://www.delo.si/,50000,0.93,0.74,0.92,0.56
https://www.foxbet.gr/,50000,0.78,0.63,0.92,0.74
https://dotesports.com/,50000,0.75,0.61,0.92,0.56
https://beta.jobs.nhs.uk/,50000,1,0.77,0.82,1
https://universidadeuropea.com/,100000,0.63,0.75,0.85,0.78
https://www.hlj.co.jp/,100000,0.61,0.33,0.82,0.52
https://trends.google.com.br/,100000,0.92,0.71,0.92,0.78
https://www.safedrivingforlife.info/,100000,0.87,0.62,0.92,0.74
https://www.hse.ie/,100000,1,0.88,1,0.78
https://portal.ifrn.edu.br/,100000,0.9,0.55,0.91,1
https://ai.google/,100000,1,0.6,0.85,0.74
https://biblechat.ai/,100000,0.93,0.59,0.85,0.74
https://vb.is/,100000,0.63,0.83,0.83,0.78
https://flutter.dev/,100000,0.9,0.45,0.92,1
https://marketingplatform.google.com/,100000,1,0.99,0.85,0.78
https://dailyamardesh.com/,100000,0.78,0.63,1,0.56
https://bidbarg.net/,100000,0.88,0.91,0.92,1
https://voordeelshop.ah.nl/,100000,0.75,0.71,0.85,0.93
https://wandel.be/,100000,0.83,0.96,0.91,1
https://www.consumerfinance.gov/,100000,1,0.77,1,0.78
https://www.unisportstore.fr/,100000,1,0.6,0.92,0.96
https://deshgujarat.com/,100000,0.73,0.25,0.85,0.52
https://vedabase.io/,100000,0.96,0.84,1,0.81
https://www.ajkerpatrika.com/,100000,0.71,,0.92,0.52
https://www.tate.org.uk/,100000,0.86,0.63,1,0.59
https://gothamist.com/,100000,0.9,0.41,0.85,0.56
https://www.kiwibank.co.nz/,100000,0.94,0.73,0.83,0.74
https://www.2simple.com/,100000,0.92,0.65,0.92,0.74
https://wrds-www.wharton.upenn.edu/,100000,0.86,0.63,0.75,0.56
https://www.kroon-oil.com/,100000,0.8,0.9,0.92,1
https://seuelectronica.ajuntament.barcelona.cat/,100000,0.93,0.59,0.92,1
https://www.ireland.ie/,100000,0.95,0.63,0.92,0.74
https://www.vacasa.com/,100000,0.72,0.57,0.77,0.74
https://funker530.com/,500000,0.84,0.6,0.83,0.78
https://oig.hhs.gov/,500000,0.96,0.75,1,0.78
https://fabtcg.com/,500000,0.81,0.93,0.92,0.78
https://business.yougov.com/,500000,0.84,0.43,0.83,0.74
https://www.ciao.ch/,500000,0.96,0.7,0.92,0.78
https://www.nsso.gov.ie/,500000,0.85,0.97,0.82,0.96
https://www.monashfodmap.com/,500000,0.82,0.73,0.83,0.74
https://www.europeia.pt/,500000,0.74,0.75,0.85,0.78
https://www.schaatsen.nl/,500000,0.69,0.75,0.77,1
https://www.sf.gov/,500000,1,0.78,0.92,0.96
https://trends.google.com.vn/,500000,0.92,0.67,0.92,0.78
https://skyfarefinder.com/,500000,0.82,0.9,0.92,0.78
https://saludconlupa.com/,500000,0.84,0.78,0.92,0.78
https://www.oeadstudenthousing.at/,500000,0.81,0.72,0.91,0.81
https://www.kaiserkraft.ch/,500000,0.73,0.88,0.85,0.96
https://portal.ifce.edu.br/,500000,0.93,0.57,1,1
https://trends.google.it/,500000,0.92,0.69,0.92,0.78
https://www.thermondo.de/,500000,0.95,0.99,1,1
https://mtrading.com/,500000,0.94,0.8,1,0.74
https://www.dentco.tw/,500000,0.74,0.51,0.77,0.78
https://www.frende.no/,500000,1,0.68,1,1
https://monitor.civicus.org/,500000,0.97,0.37,0.85,0.78
https://www.adbl.gov.np/,500000,0.74,0.71,0.73,0.96
https://trends.google.co.jp/,500000,0.92,0.66,0.92,0.78
https://rapecrisis.org.uk/,500000,0.81,0.86,1,0.78
https://trends.withgoogle.com/,500000,0.95,0.59,1,0.78
https://cie.world/,500000,0.78,0.87,0.82,1
https://www.methodist.org.uk/,500000,0.95,0.98,1,0.81
https://www.habitatinmobiliaria.com/,500000,0.72,0.55,0.77,0.78
https://zoomcorp.com/,500000,0.92,0.58,0.77,0.56
https://www.obiettivoeuropa.com/,500000,0.88,0.75,1,0.74
https://discoveroo.travel/,500000,0.78,0.4,0.82,0.78
https://www.guitarparty.com/,500000,0.79,0.79,0.83,0.78
https://www.pocket.tw/,500000,0.93,0.41,1,0.7
https://www.dewereldklok.nl/,500000,0.96,0.77,1,0.78
https://www.nordkeyboards.com/,500000,1,0.77,0.92,1
https://www.dailyamardesh.com/,500000,0.78,0.63,1,0.52
https://www.qv.co.nz/,500000,0.95,0.69,1,0.78
https://odprtakuhinja.delo.si/,500000,0.86,0.82,0.92,0.74
https://www.theartnewspaper.ru/,500000,0.8,0.44,0.83,0.78
https://bloodcancer.org.uk/,500000,0.93,0.63,1,0.56
https://www.ukgamesexpo.co.uk/,500000,0.92,0.87,1,1
https://vishwavani.news/,500000,0.77,0.4,1,0.74
https://blog.league11.in/,500000,0.77,0.68,0.85,0.7
https://www.dailynayadiganta.com/,500000,0.84,0.46,0.67,0.74
https://www.itsnicethat.com/,500000,0.88,0.45,1,0.74
https://www.berghain.berlin/,500000,0.91,0.78,0.92,1
https://www.unipar.br/,500000,0.86,0.49,0.91,0.74
https://triesteairport.it/,500000,0.9,0.59,0.82,1
https://classic.micromentor.org/,500000,0.95,0.54,0.83,0.74
https://m.priyo.com/,500000,0.78,0.4,0.82,0.7
https://puutarha.net/,500000,0.91,0.78,1,0.96
https://city.sigmalive.com/,500000,0.77,0.49,0.92,0.7
https://www.syracuse.edu/,500000,1,0.42,0.92,0.59
https://www.iticket.law/,500000,0.96,0.65,0.91,0.78
https://www.pomorski-zpn.pl/,500000,0.65,0.76,0.73,0.96
https://www.xcover.com/,500000,0.98,0.73,1,0.74
https://newsinitiative.withgoogle.com/,500000,0.87,0.76,0.92,0.56
https://app.fosterthemoney.com/,500000,1,0.61,0.91,0.59
https://www.tempurpedic.com/,500000,0.81,0.46,0.85,0.56
https://www.jalisco.gob.mx/,500000,0.84,,0.82,0.93
https://www.samaritans.org/,500000,0.94,0.6,0.92,0.78
https://www.donner.nl/,500000,0.89,0.29,0.92,0.59
https://tsukanshi.com/,500000,0.81,0.58,0.91,0.7
https://eu.mammotion.com/,500000,0.86,0.33,0.85,0.7
https://sundora.com.bd/,500000,0.75,0.43,0.85,0.59
https://au.gradconnection.com/,500000,0.75,0.58,0.92,0.74
https://www.bibliotecadigitaldebogota.gov.co/,500000,0.93,0.52,1,0.74
https://anbo-pcob.nl/,500000,0.96,0.99,1,0.78
https://www.nashtackle.co.uk/,500000,0.83,0.69,1,0.74
https://russpass.ru/,500000,0.7,0.32,0.92,0.52
https://modernarmor.worldoftanks.com/,500000,0.72,0.52,0.82,0.52
https://customerservice-macys.com/,500000,0.85,0.91,0.91,0.74
https://www.visitstockholm.se/,500000,0.93,0.59,0.92,0.96
https://www.bigdug.co.uk/,500000,0.84,0.5,0.77,0.52
https://australian.museum/,500000,0.74,0.32,0.85,0.7
https://www.cnv.nl/,500000,0.86,0.64,0.92,0.74
https://www.portalmeta.org.py/,500000,0.76,0.59,0.55,0.78
https://mybaze.com/,500000,0.78,0.53,1,0.78
https://mekuruto.nishinippon.co.jp/,500000,0.92,0.52,1,0.78
https://www.bebiprogram.pl/,500000,1,0.57,0.92,0.81
https://www.buckinghamshire.gov.uk/,500000,1,0.91,0.92,1
https://trends.google.com.tw/,500000,0.92,0.7,0.92,0.78
https://www.shakespearesglobe.com/,500000,0.77,0.51,0.85,0.56
https://sidebyside.mind.org.uk/,500000,1,0.82,1,0.74
https://blog.youtube/,500000,0.92,0.82,0.85,1
https://www.senger-mobility.de/,500000,1,0.6,1,0.78
https://www.studyin-uk.com/,500000,0.71,0.75,0.92,0.7
https://www.gloshospitals.nhs.uk/,500000,1,0.47,1,0.81
https://wordsforlife.org.uk/,500000,0.82,0.9,1,1
https://www.checkincyprus.com/,500000,0.75,0.44,0.85,0.74
https://today.yougov.com/,500000,0.9,0.47,0.83,0.74
https://www.quick.be/,500000,0.85,0.73,0.85,1
https://www.kaiserkraft.de/,500000,0.73,0.64,0.85,0.96
https://hotpoint.co.ke/,500000,0.6,0.65,0.83,0.74
https://www.datacenterdynamics.com/,500000,0.91,0.44,0.82,0.56
https://deloindom.delo.si/,500000,0.88,0.78,0.92,0.78
https://trends.google.ru/,500000,0.92,0.68,0.92,0.78
https://www.rca.ac.uk/,500000,0.98,0.89,0.92,0.96
https://fcefyn.unc.edu.ar/,500000,0.72,0.68,0.82,0.78
